date: 2014-05-20 18:38:36.456
argv: E:\Program Files\nodejs\node.exe C:\Users\XadillaX\AppData\Roaming\npm\node_modules\hexo\bin\hexo server
os: Windows_NT 6.1.7601 win32 x64
version:
  hexo: 2.5.6
  http_parser: 1.0
  node: 0.10.28
  v8: 3.14.5.9
  ares: 1.9.0-DEV
  uv: 0.10.27
  zlib: 1.2.3
  modules: 11
  openssl: 1.0.1g
---

[debug] 18:38:35.798 Processed: source/images/background/img/iPad_Photo_20140328174659OI2J.JPG
[debug] 18:38:35.799 Processed: source/images/background/img/iPad_Photo_2014032817470292QJ.JPG
[debug] 18:38:35.799 Processed: source/images/background/img/iPad_Photo_20140328174705SKXS.JPG
[debug] 18:38:35.800 Processed: source/images/background/img/iPad_Photo_20140328174714KW8O.JPG
[debug] 18:38:35.801 Processed: source/images/background/img/iPad_Photo_20140328174716RWCG.JPG
[debug] 18:38:35.802 Processed: source/images/background/img/iPad_Photo_20140328174722SP1D.JPG
[debug] 18:38:35.803 Processed: source/images/background/img/iPad_Photo_20140328174725LA86.JPG
[debug] 18:38:35.804 Processed: source/images/background/img/iPad_Photo_20140328174729CIDI.JPG
[debug] 18:38:35.805 Processed: source/images/background/img/iPad_Photo_20140328174745BTVU.JPG
[debug] 18:38:35.806 Processed: source/images/background/img/iPad_Photo_20140328174808FREO.JPG
[debug] 18:38:35.807 Processed: source/images/background/img/iPad_Photo_20140328174813146L.JPG
[debug] 18:38:35.808 Processed: source/images/background/img/iPad_Photo_201403281748160U7C.JPG
[debug] 18:38:35.809 Processed: source/images/background/img/iPad_Photo_20140328175513PYEY.JPG
[debug] 18:38:35.810 Processed: source/images/background/img/iPad_Photo_20140328175534D0ZZ.JPG
[debug] 18:38:35.811 Processed: source/images/background/img/iPad_Photo_2014032817553747WV.JPG
[debug] 18:38:35.812 Processed: source/images/background/img/iPad_Photo_20140328175614MZ7A.JPG
[debug] 18:38:35.813 Processed: source/images/background/img/iPad_Photo_201403281756197C0Z.JPG
[debug] 18:38:35.814 Processed: source/images/background/img/iPad_Photo_20140328175639RA5N.JPG
